% Model:              comsol_model_ex6.mph
% Version:            COMSOL 6.4.0.378
% Date:               Jul 27 2026, 14:13
% Table:              Table 9 - Arkkios torque
% I_phase (rad)          (L / (mu0 * (l_airgap)))*((x*mf.Bx + y*mf.By)*(-y*mf.Bx + x*mf.By)/ sqrt(x^2+y^2)) (kg^2*m^2/(s^4*A^2))
0                        -0.1517333469621684
0.06346651825433926      -0.08363925522333376
0.12693303650867852      -0.01580806173573268
0.1903995547630178       0.05148710493619328
0.25386607301735703      0.11797527497603477
0.3173325912716963       0.1833887283563579
0.3807991095260356       0.2474640727802792
0.4442656277803748       0.30994330419204036
0.5077321460347141       0.37057484559394505
0.5711986642890533       0.42911455998505543
0.6346651825433925       0.48532673333220755
0.6981317007977318       0.5389850236306266
0.7615982190520711       0.5898733722331057
0.8250647373064104       0.6377868737692552
0.8885312555607496       0.6825326011641851
0.9519977738150889       0.7239303824253333
1.0154642920694281       0.7618135260831922
1.0789308103237674       0.7960294923497493
1.1423973285781066       0.826440507309613
1.2058638468324459       0.8529241176564183
1.269330365086785        0.8753736837555337
1.3327968833411243       0.8936988090315485
1.3962634015954636       0.9078257039649327
1.4597299198498028       0.917697483231674
1.5231964381041423       0.923274394778675
1.5866629563584815       0.9245339799204311
1.6501294746128208       0.9214711638157054
1.71359599286716         0.9140982759441851
1.7770625111214993       0.9024450005165927
1.8405290293758385       0.8865582570107264
1.9039955476301778       0.8665020113060425
1.967462065884517        0.8423570181888514
2.0309285841388562       0.8142204962575104
2.0943951023931957       0.7822057365308956
2.1578616206475347       0.7464416463436846
2.221328138901874        0.7070722303630335
2.284794657156213        0.6642560108036796
2.3482611754105527       0.6181653891875358
2.4117276936648917       0.5689859522186129
2.475194211919231        0.5169157245487855
2.53866073017357         0.46216437146014816
2.6021272484279097       0.40495235467162943
2.6655937666822487       0.3455100446558911
2.729060284936588        0.284076793057419
2.792526803190927        0.22089996892745578
2.8559933214452666       0.1562339626762646
2.9194598396996057       0.09033916173697981
2.982926357953945        0.023480902073002803
3.0463928762082846       -0.04407160024987926
3.1098593944626236       -0.11204633312443137
3.173325912716963        -0.18016958373111985
3.236792430971302        -0.24816704072596607
3.3002589492256416       -0.31576489884145564
3.3637254674799806       -0.382690961465489
3.42719198573432         -0.4486757367365899
3.490658503988659        -0.5134535227674231
3.5541250222429985       -0.576763477599193
3.6175915404973376       -0.638350669599892
3.681058058751677        -0.6979671040581824
3.744524577006016        -0.7553727218500169
3.8079910952603555       -0.8103363661454519
3.8714576135146945       -0.8626367132768558
3.934924131769034        -0.9120631639971589
3.998390650023373        -0.958416691559279
4.0618571682777125       -1.0015106431889766
4.1253236865320515       -1.0411714917262962
4.188790204786391        -1.0772395344019778
4.25225672304073         -1.1095695359533955
4.3157232412950695       -1.138031313460823
4.3791897595494085       -1.162510260572422
4.442656277803748        -1.1829078089964846
4.506122796058087        -1.1991418254101303
4.569589314312426        -1.2111469421624386
4.6330558325667655       -1.2188748204848538
4.696522350821105        -1.2222943450996953
4.759988869075444        -1.2213917494759203
4.823455387329783        -1.216170671222865
4.886921905584122        -1.2066521373917258
4.950388423838462        -1.192874479742501
5.013854942092801        -1.1748931803401974
5.07732146034714         -1.1527806480706082
5.14078797860148         -1.1266259270084338
5.204254496855819        -1.0965343377916181
5.267721015110158        -1.062627053452141
5.331187533364497        -1.0250406114169832
5.394654051618837        -0.983926363648641
5.458120569873176        -0.9394498671239239
5.521587088127515        -0.8917902171275799
5.585053606381854        -0.8411393260304926
5.648520124636194        -0.787701150465509
5.711986642890533        -0.7316908700117246
5.775453161144872        -0.6733340206956029
5.838919679399211        -0.6128655867997385
5.902386197653551        -0.5505290546318414
5.96585271590789         -0.4865754320728854
6.029319234162229        -0.421262237847405
6.092785752416569        -0.35485246457989145
6.156252270670908        -0.2876135198337475
6.219718788925247        -0.21981614936516125
6.283185307179586        -0.1517333469621684
