% Model:              comsol_model_ex6.mph
% Version:            COMSOL 6.4.0.378
% Date:               Jul 28 2026, 09:33
% Table:              Table 10 - Maxwell Stress Tensor
% I_phase (rad)          we need outward normal so flip sign (kg^2*m^2/(s^4*A^2))
0                        0.02793656247386908
0.06346651825433926      0.09574444402147611
0.12693303650867852      0.16327805757235922
0.1903995547630178       0.23026546899923933
0.25386607301735703      0.2964369435426164
0.3173325912716963       0.36152603192811017
0.3807991095260356       0.42527064329104214
0.4442656277803748       0.48741410049847955
0.5077321460347141       0.5477061737098589
0.5711986642890533       0.6059040879742673
0.6346651825433925       0.6617735007870161
0.6981317007977318       0.7150894457059365
0.7615982190520711       0.7656372382186845
0.8250647373064104       0.8132133401981959
0.8885312555607496       0.8576261794835142
0.9519977738150889       0.8986969212676038
1.0154642920694281       0.9362601882020488
1.0789308103237674       0.9701647263127555
1.1423973285781066       1.000274014051866
1.2058638468324459       1.0264668120123261
1.269330365086785        1.0486376511241666
1.3327968833411243       1.0666972573250662
1.3962634015954636       1.0805729110504851
1.4597299198498028       1.0902087400424834
1.5231964381041423       1.095565944317809
1.5866629563584815       1.0966229524184405
1.6501294746128208       1.093375508245648
1.71359599286716         1.0858366882199986
1.7770625111214993       1.0740368486037848
1.8405290293758385       1.058023503299423
1.9039955476301778       1.0378611324810838
1.967462065884517        1.0136309229795932
2.0309285841388562       0.9854304413752035
2.0943951023931957       0.953373241122955
2.1578616206475347       0.9175884053063574
2.221328138901874        0.8782200268696404
2.284794657156213        0.8354266284097583
2.3482611754105527       0.7893805238502305
2.4117276936648917       0.7402671246086034
2.475194211919231        0.6882841929979379
2.53866073017357         0.6336410459143431
2.6021272484279097       0.5765577119836645
2.6655937666822487       0.5172640456004514
2.729060284936588        0.45599880136512494
2.792526803190927        0.3930086727264501
2.8559933214452666       0.32854729861915455
2.9194598396996057       0.26287424215331817
2.982926357953945        0.19625394545366817
3.0463928762082846       0.12895466484010762
3.1098593944626236       0.06124739065867388
3.173325912716963        -0.0065952438972251
3.236792430971302        -0.07430006059336938
3.3002589492256416       -0.14159443613444095
3.3637254674799806       -0.20820739991815068
3.42719198573432         -0.2738707251502964
3.490658503988659        -0.3383200088848087
3.5541250222429985       -0.4012957366826404
3.6175915404973376       -0.4625443275925795
3.681058058751677        -0.5218191552201731
3.744524577006016        -0.5788815408034267
3.8079910952603555       -0.633501714288776
3.8714576135146945       -0.685459739550999
3.934924131769034        -0.7345463999660208
3.998390650023373        -0.7805640408808641
4.0618571682777125       -0.8233273654841546
4.1253236865320515       -0.8626641809290982
4.188790204786391        -0.8984160917078721
4.25225672304073         -0.9304391374361174
4.3157232412950695       -0.9586043725504142
4.3791897595494085       -0.9827983855157754
4.442656277803748        -1.0029237555021446
4.506122796058087        -1.0188994446483106
4.569589314312426        -1.030661124398258
4.6330558325667655       -1.0381614345202386
4.696522350821105        -1.0413701738048133
4.759988869075444        -1.0402744216858049
4.823455387329783        -1.0348785902647974
4.886921905584122        -1.0252044065424128
4.950388423838462        -1.011290824946519
5.013854942092801        -0.9931938704594464
5.07732146034714         -0.9709864130442023
5.14078797860148         -0.9447578742168684
5.204254496855819        -0.9146138669710032
5.267721015110158        -0.8806757705244064
5.331187533364497        -0.8430802415676928
5.394654051618837        -0.8019786639893891
5.458120569873176        -0.7575365393153155
5.521587088127515        -0.7099328202826862
5.585053606381854        -0.6593591902741851
5.648520124636194        -0.6060192914647091
5.711986642890533        -0.550127904829058
5.775453161144872        -0.49191008530362984
5.838919679399211        -0.43160025555255066
5.902386197653551        -0.3694412620416363
5.96585271590789         -0.30568339716416726
6.029319234162229        -0.24058339144379706
6.092785752416569        -0.1744033797054074
6.156252270670908        -0.10740984560417677
6.219718788925247        -0.03987254855892702
6.283185307179586        0.027936562473943688
